ID,Type,Subtype/Category,Entry (verbatim),Context / Notes,Source Section
F1,Fact,Biography,"Rebecca Ferguson was born in Stockholm, Sweden in 1983 to a Swedish father (Olov Sundström) and an English mother (Rosemary Ferguson), growing up bilingual and culturally mixed.",Birth and upbringing,Background & Early Life
F2,Fact,Biography,"Her eccentric mother (who once helped the band ABBA translate song lyrics) encouraged her to try many activities, from gymnastics and tap dance to even playing bridge with elderly ladies.",Mother’s influence,Background & Early Life
F3,Fact,Education,Ferguson attended an arts-focused school with emphasis on singing and music.,Schooling,Background & Early Life
F4,Fact,Career start,"At 15, she auditioned for a local soap opera (Nya Tider) and landed the lead role, leaving formal schooling.",First acting role,Background & Early Life
F5,Fact,Career break,"After the soap ended, Ferguson worked normal jobs (nanny, shop clerk, restaurant hostess).",Between acting roles,Background & Early Life
Fam1,Family,Father,Olov Sundström (Swedish father).,Parent,Background & Early Life
Fam2,Family,Mother,Rosemary Ferguson (English mother; eccentric; once helped ABBA translate lyrics).,Parent,Background & Early Life
W1,Work,Acting debut,"Nya Tider (Swedish daytime soap opera, 1999).",Lead role at age 15.,Background & Early Life
Q1,Quote,Childhood,“Never told me that things aren’t possible.”,About her parents’ attitude.,Background & Early Life
Q2,Quote,Independence,"“Moved away from home, everything,”",Recalling independence as teen actress.,Background & Early Life
Q3,Quote,Career approach,"She describes her career path as “a slow process,” taking time to discover her craft.",On her career development.,Background & Early Life; Creative Passions & Work Ethic
V1,Value,Confidence,Parents’ unwavering support and “never told me that things aren’t possible” attitude instilled confidence and curiosity.,Childhood influence.,Background & Early Life
T1,Trait,Personality,Rebellious independent streak.,From moving out young and fame forcing her to grow up fast.,Background & Early Life
T2,Trait,Personality,"Grounded, self-reliant personality and strong sense of realism about acting.",From formative experiences.,Background & Early Life
O1,Opinion,Career approach,"She didn’t “sharp-elbow” her way through Hollywood; instead, her career was “a slow process.”",On how she advanced.,Background & Early Life
W2,Work,Breakthrough,"The White Queen (2013), portrayed Queen Elizabeth Woodville.",Earned wide recognition and Golden Globe nomination.,Career Breakthroughs
F6,Fact,Award,Golden Globe nomination for Best Actress in a Miniseries for The White Queen (2013).,Recognition.,Career Breakthroughs
Q4,Quote,Work experience,"“It was my first ever international role. I moved away from home, from Sweden, and I lived in Bruges for six months. I played the Queen of England with an incredible crew.”",On filming The White Queen.,Career Breakthroughs
W3,Work,Breakthrough,"Mission: Impossible – Rogue Nation (2015), role: Ilsa Faust.",Hand-picked by Tom Cruise.,Career Breakthroughs
Q5,Quote,First meeting,“Bam! There [Cruise] was in front of me.”,On meeting Tom Cruise.,Career Breakthroughs
F7,Fact,Stunts,"Performed most of her own stunts in Rogue Nation, with weeks of fight training.",Commitment to physical work.,Career Breakthroughs
F8,Fact,Personal,Overcame lifelong fear of heights by doing 120-foot free-fall stunt at Vienna Opera House.,Major personal achievement.,Career Breakthroughs
Q6,Quote,Self-pride,“I’m still patting myself on the shoulder for that one.”,About conquering fear of heights.,Career Breakthroughs; Creative Passions & Work Ethic
F9,Fact,Praise,"Tom Cruise said: “Rebecca is enormously talented. When she decides to do something, she makes it happen.”",Praise by Tom Cruise.,Career Breakthroughs
F10,Fact,Comparison,Cruise compared her blend of elegance and steel to a young Ingrid Bergman.,External assessment.,Career Breakthroughs
W4,Work,Franchise,"Mission: Impossible – Fallout (2018), reprise of Ilsa Faust.",Continued stunt work.,Career Breakthroughs
W5,Work,Franchise,"Mission: Impossible – Dead Reckoning Part One (2023), reprise of Ilsa Faust.",Franchise continuity.,Career Breakthroughs
W6,Work,Other films,The Girl on the Train (2016).,Thriller role alongside Emily Blunt.,Career Breakthroughs
W7,Work,Other films,Florence Foster Jenkins (2016).,Acted opposite Meryl Streep and Hugh Grant.,Career Breakthroughs
W8,Work,Other films,The Greatest Showman (2017).,Musical with Hugh Jackman.,Career Breakthroughs
W9,Work,Other films,Life (2017).,Sci-fi horror with Jake Gyllenhaal.,Career Breakthroughs
W10,Work,Other films,The Kid Who Would Be King (2019).,Family fantasy.,Career Breakthroughs
Q7,Quote,Career reflection,“I never started off thinking I was going to be an actress – it kind of happened and I enjoyed it.”,On career beginnings.,Career Breakthroughs
Q8,Quote,Career reflection,“After a while you get to a point where you can sift things out.”,On becoming selective in role choice.,Career Breakthroughs
F11,Fact,Admiration,Worked with director of The Usual Suspects and acted opposite idols like Meryl Streep.,Career milestones.,Career Breakthroughs
Q9,Quote,Career gratitude,“I’ve been so lucky and fortunate to work with many of the people who I have adored to watch.”,About working with admired colleagues.,Career Breakthroughs
W11,Work,Acclaimed role,"Doctor Sleep (2019), role: Rose the Hat.",Won Fangoria Chainsaw Award for Best Supporting Actress.,Career Breakthroughs
F12,Fact,Award,"Fangoria Chainsaw Award for Best Supporting Actress, Doctor Sleep (2019).",Award recognition.,Career Breakthroughs
W12,Work,Major role,"Dune (2021), role: Lady Jessica.",Denis Villeneuve expanded her role in Dune: Part Two.,Career Breakthroughs
F13,Fact,Praise,"Denis Villeneuve described her as passionate, imaginative, with “no fear to walk into the unknown.”",External praise.,Career Breakthroughs
F14,Fact,Set culture,"Organized off-set excursions during Dune filming (e.g., Dead Sea boat trip).",Leadership on set.,Career Breakthroughs
W13,Work,TV,"Silo (2023), role: Juliette.",Also executive producer.,Career Breakthroughs
