,Name,Category,Relationship/Context,Project/Link,Closeness/Sentiment
0,Tom Cruise,Co-star,Longtime collaborator on Mission: Impossible,Mission: Impossible,Close professional trust; admiration/respect
1,Christopher McQuarrie,Director,Director and creative partner,Mission: Impossible,Strong trust; deep collaboration
2,Denis Villeneuve,Director,Director of Dune; praised repeatedly,Dune,High admiration; intellectual respect
3,Timothy Chalamet,Co-star,Co-star in Dune,Dune,"Warm, affectionate tone; professional"
4,Oscar Isaac,Co-star,Co-star in Dune,Dune,"Positive, mutual respect"
5,Zendaya,Co-star,Co-star in Dune,Dune,"Friendly, light admiration"
6,Florence Pugh,Co-star,Co-star in Dune: Part Two,Dune,Professional respect
7,Josh Brolin,Co-star,Co-star in Dune,Dune,Neutral-professional
8,Javier Bardem,Co-star,Co-star in Dune,Dune,Neutral-professional
9,Stellan Skarsg√•rd,Co-star,Co-star in Dune,Dune,Warm Nordic bond; admiration
10,Rebecca's Mother (Rosemary Ferguson),Family,"Mother, biographical references",Life,Central emotional bond; formative influence
11,Rebecca's Father,Family,"Father, separated early",Life,Complex/strained; minimal contact
12,Isac Hallberg,Family,Rebecca's son,Life,Deep love; most important relationship
13,Stella Ferguson,Family,Rebecca's daughter,Life,Deep love; central family bond
14,Hugh Grant,Co-star,Worked together on 'Florence Foster Jenkins',Florence Foster Jenkins,Admiration; positive professional
15,Meryl Streep,Co-star,Worked together on 'Florence Foster Jenkins',Florence Foster Jenkins,"Respect, admiration"
16,Emily Blunt,Co-star,Worked together on 'The Girl on the Train',The Girl on the Train,Warm professional rapport
17,Justin Theroux,Co-star,Worked together on 'The Girl on the Train',The Girl on the Train,Neutral-professional
18,Luke Evans,Co-star,Worked together on 'The Girl on the Train',The Girl on the Train,Friendly-professional
19,Tate Taylor,Director,Director of 'The Girl on the Train',The Girl on the Train,Respectful; professional trust
20,Dwayne Johnson,Co-star,Worked together on 'Hercules',Hercules,"Warm, positive admiration"
21,Irina Shayk,Co-star,Worked together on 'Hercules',Hercules,Friendly tone
22,John Hurt,Co-star,Worked together on 'Hercules',Hercules,"Respectful, affectionate"
23,Francis Lawrence,Director,Director of 'Red Sparrow',Red Sparrow,Professional respect
24,Jennifer Lawrence,Co-star,Worked together on 'Red Sparrow',Red Sparrow,Admiration; warm tone
25,Ewan McGregor,Co-star,Worked together on 'Doctor Sleep',Doctor Sleep,Mutual respect; warm working relationship
26,Mike Flanagan,Director,Director of 'Doctor Sleep',Doctor Sleep,Admiration; deep respect
27,Hugh Jackman,Co-star,Worked together on 'Reminiscence',Reminiscence,Positive admiration
28,Lisa Joy,Director,Director of 'Reminiscence',Reminiscence,Respect and intellectual appreciation
29,Patrick Fugit,Co-star,Worked together on 'Reminiscence',Reminiscence,Professional rapport
30,Simon Pegg,Co-star,Worked together on multiple Mission: Impossible films,Mission: Impossible,"Warm, humorous bond; mutual respect"
31,Ving Rhames,Co-star,Worked together on multiple Mission: Impossible films,Mission: Impossible,Friendly-professional
32,Jeremy Renner,Co-star,Worked together on Mission: Impossible ‚Äì Rogue Nation,Mission: Impossible,Positive professional rapport
33,Henry Cavill,Co-star,Worked together on Mission: Impossible ‚Äì Fallout,Mission: Impossible,Friendly admiration
34,Vanessa Kirby,Co-star,Worked together on Mission: Impossible ‚Äì Fallout,Mission: Impossible,Professional respect
35,Hayley Atwell,Co-star,Worked together on Mission: Impossible ‚Äì Dead Reckoning,Mission: Impossible,Warm rapport
36,Pom Klementieff,Co-star,Worked together on Mission: Impossible ‚Äì Dead Reckoning,Mission: Impossible,Professional respect
37,Angela Bassett,Co-star,Worked together on Mission: Impossible ‚Äì Fallout,Mission: Impossible,Positive-professional
38,Alec Baldwin,Co-star,Worked together on Mission: Impossible ‚Äì Rogue Nation & Fallout,Mission: Impossible,Respectful tone
39,Sean Harris,Co-star,Worked together on Mission: Impossible ‚Äì Rogue Nation & Fallout,Mission: Impossible,Professional rapport
40,Vanessa Redgrave,Co-star,Mentioned in press as admired actress,Career,Warm admiration
41,Ingrid Bergman,Inspiration,Referenced as a Swedish acting inspiration,Life/Heritage,Deep respect and inspiration
42,Greta Garbo,Inspiration,Referenced as iconic Swedish actress,Life/Heritage,Respect; inspirational figure
43,Ingmar Bergman,Inspiration,Referenced as Swedish cinematic icon,Life/Heritage,Respect; cultural inspiration
44,Maria von Trapp,Role,Portrayed in 'The Sound of Music: Live',Sound of Music,Affectionate toward role
45,Jenny Lind,Role,Portrayed in 'The Greatest Showman',The Greatest Showman,Respect and affection
47,Zac Efron,Co-star,Worked together on 'The Greatest Showman',The Greatest Showman,Friendly-professional
49,Michael Gracey,Director,Directed 'The Greatest Showman',The Greatest Showman,Respectful appreciation
50,Jake Gyllenhaal,Co-star,Worked together on 'Life',Life,Warm admiration; respect
51,Ryan Reynolds,Co-star,Worked together on 'Life',Life,"Friendly, humorous rapport"
52,Daniel Espinosa,Director,Directed 'Life',Life,Swedish connection; respect
53,Rupert Friend,Co-star,Worked together on 'Despite the Falling Snow',Despite the Falling Snow,Friendly-professional
54,Charles Dance,Co-star,Worked together on 'Despite the Falling Snow',Despite the Falling Snow,Respectful
55,Shamim Sarif,Director,Directed 'Despite the Falling Snow',Despite the Falling Snow,Warm appreciation
56,Alicia Vikander,Peer,Fellow Swedish actress; often compared,Career,Respectful; warm peer tone
57,Noomi Rapace,Peer,Fellow Swedish actress,Career,Respectful; professional parallel
58,Alexander Skarsg√•rd,Peer,Swedish actor; same circles,Career,Warm national bond
59,Bill Skarsg√•rd,Peer,Swedish actor; same circles,Career,Respectful tone
60,Gustaf Skarsg√•rd,Peer,Swedish actor; same circles,Career,Respectful tone
61,Joel Kinnaman,Peer,Swedish actor; same circles,Career,Friendly-professional
62,Mikael Nyqvist,Peer,Late Swedish actor; admired,Career,Respect; admiration
63,Ingrid Rubio,Co-star,Worked together on 'The Red Tent',The Red Tent,Positive-professional
64,Minnie Driver,Co-star,Worked together on 'The Red Tent',The Red Tent,Friendly-professional
65,Morena Baccarin,Co-star,Worked together on 'The Red Tent',The Red Tent,Friendly-professional
66,John Lynch,Co-star,Worked together on 'The Red Tent',The Red Tent,Respectful-professional
67,David Kossoff,Role/Portrayal,Historical figure referenced in 'The Red Tent',The Red Tent,Neutral portrayal
68,Sharon Small,Co-star,Worked together on TV project,Career,Professional rapport
69,Idris Elba,Co-star,Worked together on 'The Dark Tower',The Dark Tower,Respectful-professional
70,Matthew McConaughey,Co-star,Worked together on 'The Dark Tower',The Dark Tower,Warm respect; professional
71,Nikolaj Arcel,Director,Directed 'The Dark Tower',The Dark Tower,Respectful-professional
72,Stephen King,Author,Author of source material 'The Dark Tower',The Dark Tower,Admiration; inspirational
73,Clint Eastwood,Inspiration,Cinematic influence mentioned in relation to 'The Dark Tower',Career,Admiration
74,David Oyelowo,Co-star,Worked together on 'The Red Tent',The Red Tent,Respectful-professional
75,Ciar√°n Hinds,Co-star,Worked together on 'The Snowman',The Snowman,Respectful tone
76,Michael Fassbender,Co-star,Worked together on 'The Snowman',The Snowman,Warm admiration
